ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE DA AMAZÔNIA OCIDENTAL - FAAO,FAAO,AC,Privada,6,4,190,2
FACULDADE ITEANA DE IBITINGA,FITI,SP,Privada,2,0,,
INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,IFIBE,RS,Privada,1,1,285,3
INSTITUIÇÃO DE ENSINO SÃO FRANCISCO,IESF,SP,Privada,2,1,216,3
ESCOLA SUPERIOR MADRE CELESTE,ESMAC,PA,Privada,8,3,190,2
FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS,PIO XII - DIR,ES,Privada,1,0,,
FACULDADE ANHANGUERA DE MATÃO,FPM,SP,Privada,4,2,223,3
FACULDADE PAN AMERICANA,FPA,PA,Privada,3,1,82,1
FACULDADE MESTRA,Mestra,GO,Privada,1,0,,
FACULDADE DE CIÊNCIAS MÉDICAS DE CAMPINA GRANDE,FCM,PB,Privada,3,0,,
FACULDADE DE ADMINISTRACAO DE EMPRESAS DE PARAISO DO TOCANTINS,FAP,TO,Privada,1,0,,
FACULDADE CATÓLICA DO TOCANTINS,FACTO,TO,Privada,6,2,205,3
FACULDADE DE SISTEMAS DE INFORMAÇÃO DE PARAÍSO DO TOCANTINS,FSIP,TO,Privada,1,1,129,2
FACULDADE DE ODONTOLOGIA SÃO LEOPOLDO MANDIC,SLMANDIC,SP,Privada,1,1,448,5
INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,SC,Privada,3,1,303,4
INSTITUTO DE EDUCAÇÃO SUPERIOR SÃO FRANCISCO DE ASSIS DE TEÓFILO OTONI,IESFATO,MG,Privada,1,0,,
FACULDADE DE ADMINISTRACAO DE CAMPINA VERDE,FACAV,MG,Privada,1,0,,
FACULDADE DO AMAPÁ,FAMAP,AP,Privada,3,1,160,2
FACULDADE MERIDIONAL,IMED,RS,Privada,2,0,,
FACULDADE INTEGRADA DO BRASIL,FAIBRA,PI,Privada,1,0,,
FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI,FFTP,SP,Privada,1,1,145,2
FACULDADE DE CAMPO VERDE,FCV,MT,Privada,1,1,149,2
FACULDADE FUCAPE,FUCAPE,ES,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇO DE CAMPO VERDE,ISE - Campo Verde,MT,Privada,2,0,,
FACULDADE CIDADE DO SALVADOR,FCS,BA,Privada,8,0,,
FACULDADES INTEGRADAS FACVEST,FACVEST,SC,Privada,9,5,192,2
"ESCOLA SUPERIOR DE ADMINISTRACAO, MARKETING E COMUNICACAO DE SANTOS",ESAMC Santos,SP,Privada,2,1,312,4
FACULDADE DO AGRESTE DE PERNAMBUCO,FAAPE,PE,Privada,5,1,303,4
FACULDADE CEARENSE,FaC,CE,Privada,8,1,305,4
FACULDADE DE ENSINO SUPERIOR DE FLORIANO,FAESF,PI,Privada,5,1,sub judice,sub judice
INSTITUTO DE ENSINO E CULTURA DO PARANA - IECP,IECP,PR,Privada,1,1,237,3
FACULDADE DE CIÊNCIA E TECNOLOGIA DE MONTES CLAROS,FACIT,MG,Privada,5,4,145,2
FACULDADE INTEGRADA BRASIL AMAZONIA - FIBRA,FIBRA,PA,Privada,4,1,213,3
FACULDADE DE CIENCIAS GERENCIAIS DA BAHIA,UNICENID,BA,Privada,1,1,276,3
FACULDADE DE CIÊNCIAS DA SAÚDE DE CAMPOS GERAIS,FACICA,MG,Privada,2,1,210,3
FACULDADE MONTESSORI DE IBIUNA,FMI,SP,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO PORTO SEGURO,ISEPS,ES,Privada,2,2,163,2
FACULDADE DE CIÊNCIAS CONTÁBEIS LUIZ MENDES,LUMEN Faculdades,PB,Privada,2,1,126,2
FACULDADE TÁHIRIH,FT,AM,Privada,1,1,175,2
FACULDADE DE TEIXEIRA DE FREITAS,FACTEF,BA,Privada,8,2,155,2
INSTITUTO TEOLÓGICO PASTORAL DO CEARÁ,ITEP,CE,Privada,1,1,163,2
FACULDADE CIDADE DE JOÃO PINHEIRO,FCJP,MG,Privada,11,8,180,2
INSTITUTO SUPERIOR DE EDUCAÇÃO AUXILIUM,,SP,Privada,7,0,,
FACULDADE DE CIÊNCIAS BIOMÉDICAS DO ESPÍRITO SANTO,PIO XII - BIO,ES,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DE JANAÚBA,ISEJAN,MG,Privada,4,1,225,3
INSTITUTO EDUCACIONAL DE CASTRO,INEC,PR,Privada,3,1,170,2
FACULDADE DE DIREITO PROMOVE,Promove,MG,Privada,1,0,,
FACULDADE IPIRANGA,FA,PA,Privada,1,0,,
FACULDADE DE ADMINISTRAÇÃO DE CHAPADÃO DO SUL,FACHASUL,MS,Privada,2,1,247,3
FACULDADE ISAAC NEWTON,ISAACNEWTON,BA,Privada,3,0,,
FACULDADE DE ESTUDOS AVANCADOS DO PARA,FEAPA,PA,Privada,6,4,140,2
FACULDADE CÂMARA CASCUDO,FCC,RN,Privada,5,2,237,3
FACULDADE CBES,CBES,PR,Privada,1,0,,
FACULDADE SÃO LUÍS,FSL,SC,Privada,1,1,298,4
FACULDADE JOANA D'ARC,FJD,SP,Privada,1,1,218,3
FACULDADE DE DIREITO PROFESSOR DAMÁSIO DE JESUS,FDDJ,SP,Privada,1,0,,
INSTITUTO MACAPAENSE DE ENSINO SUPERIOR,IMMES,AP,Privada,6,1,210,3
INSTITUTO SALVADOR DE ENSINO E CULTURA,ISEC,BA,Privada,5,0,,
FACULDADE MARIA MILZA,FAMAM,BA,Privada,7,2,246,3
FACULDADE ARQUIDIOCESANA DE MARIANA,FAM,MG,Privada,1,1,327,4
FACULDADE FÊNIX DE BAURU,,SP,Privada,5,0,,
FACULDADE DE ADMINISTRACAO DE MARIANA,FAMA,MG,Privada,1,0,,
FACULDADE DE INTEGRACAO DO ENSINO SUPERIOR DO CONE SUL,FISUL,RS,Privada,1,0,,
FACULDADE LATINO AMERICANA,,GO,Privada,11,5,158,2
FACULDADE LEONARDO DA VINCI,ULBRA,RS,Privada,1,0,,
FACULDADE ANGLICANA DE ERECHIM,FAE,RS,Privada,3,1,110,2
INSTITUTO SUPERIOR DE EDUCAÇÃO DO CECAP,ISCECAP,DF,Privada,2,1,208,3
FACULDADE DE PINDAMONHANGABA,FAPI,SP,Privada,8,5,244,3
FACULDADE ATENEU,FATE,CE,Privada,2,0,,
FACULDADE APOIO,FA,BA,Privada,2,0,,
FACULDADE ESTÁCIO DE SÁ DE GOIÁS,FAGO,GO,Privada,4,1,175,2
FACULDADE DIVINÓPOLIS,FACED,MG,Privada,3,0,,
FACULDADE DE ARTE E DESIGN,FAD,MG,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTO AGOSTINHO,ISA,MG,Privada,1,0,,
INSTITUTO NATALENSE DE EDUCAÇÃO SUPERIOR,INAES,RN,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ,ISESPI,PI,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCACAO MAE DE DEUS,ISEMD,PR,Privada,1,1,242,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE IGUAPE,ISE IGUAPE,SP,Privada,2,0,,
FACULDADE DE CIENCIAS DE GUARULHOS,Facig,SP,Privada,1,1,147,2
FACULDADE DO SUDESTE GOIANO,FASUG,GO,Privada,3,1,216,3
FACULDADE RORAIMENSE DE ENSINO SUPERIOR,FARES,RR,Privada,5,3,120,2
FACULDADE SÃO GERALDO,FSG,ES,Privada,2,2,187,2
FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,ES,Privada,3,2,260,3
FACULDADE EVANGÉLICA DO MEIO NORTE,FAEME,MA,Privada,1,0,,
FACULDADE PAULISTA DE EDUCAÇÃO E COMUNICAÇÃO,FAPEC,SP,Privada,1,1,222,3
INSTITUTO SUPERIOR DE CIÊNCIAS DA SAÚDE,INCISA,MG,Privada,1,1,207,3
INSTITUTO DE EDUCACAO SUPERIOR UNYAHNA LUIS EDUARDO MAGALHAES,IESULEM,BA,Privada,1,0,,
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE PENEDO,FCSAP,AL,Privada,1,0,,
FACULDADE DE DIREITO DE VILA VELHA,,ES,Privada,1,1,225,3
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,FAESF/UNEF,BA,Privada,3,3,149,2
FACULDADE DE CIENCIAS ADMINISTRATIVAS,FCA,MT,Privada,1,1,114,2
INSTITUTO SUPERIOR DE EDUCAÇÃO PADRE JOÃO BAGOZZI,COSJISUP,PR,Privada,2,2,252,3
INSTITUTO DE ENSINO SUPERIOR DE OLINDA,IESO,PE,Privada,3,3,111,2
FACULDADE ZACARIAS DE GÓES,FAZAG,BA,Privada,5,3,264,3
FACULDADE DE CIÊNCIAS EDUCACIONAIS,FACE,BA,Privada,8,7,178,2
FACULDADE REDENTOR,FACREDENTOR,RJ,Privada,8,6,239,3
"FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS",FAC,BA,Privada,3,3,185,2
FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,SP,Privada,2,2,160,2
FACULDADES INTEGRADAS PADRE ANCHIETA DE GUARAPARI,FIPAG,ES,Privada,4,3,221,3
FACULDADE ATENAS,,MG,Privada,4,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO PAULO MARTINS,ISPAM,DF,Privada,4,3,211,3
FACULDADE SÃO SALVADOR,FSS,BA,Privada,4,3,178,2
FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ,UCP,PR,Privada,7,4,203,3
ESCOLA BRASILEIRA DE ECONOMIA E FINANCAS,EBEF,RJ,Privada,1,1,464,5
FACULDADE DE JUAZEIRO DO NORTE,FJN,CE,Privada,3,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DE TUPI PAULISTA,ISETP,SP,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO MONTES CLAROS,,MG,Privada,5,2,196,3
FACULDADE SANTO ANTÔNIO DE PÁDUA,FASAP,RJ,Privada,3,0,,
FACULDADE SÃO BENTO DO RIO DE JANEIRO,FSB/RJ,RJ,Privada,1,1,278,3
FACULDADE DE DIREITO DE ITABIRA,FDI,MG,Privada,1,1,265,3
FACULDADE AMPÉRE,FAMPER,PR,Privada,3,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DA SERRA,FABAVI,ES,Privada,2,0,,
FACULDADE DO TAPAJOS,FAT,PA,Privada,1,0,,
FACULDADE DO LITORAL PARANAENSE,FLP,PR,Privada,1,1,214,3
FACULDADE DE TECNOLOGIA IBTA - SÃO JOSÉ DOS CAMPOS,IBTA,SP,Privada,2,2,257,3
FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA,AJES,MT,Privada,1,0,,
FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,UnisulBahia,BA,Privada,6,2,199,3
INSTITUTO DE EDUCAÇÃO E TECNOLOGIAS,INET,BA,Privada,2,0,,
FACULDADE DE TECNOLOGIA SENAI CONCÓRDIA,CET Concórdia,SC,Privada,1,0,,
FACULDADE DE CIÊNCIAS DA SAÚDE DA SERRA,FABAVI,ES,Privada,1,0,,
FACULDADE SÃO VICENTE,FASVIPA,AL,Privada,3,0,,
FACULDADE SANTA CLARA,FASCLA,RS,Privada,2,1,192,2
FACULDADE DE EDUCAÇÃO SUPERIOR DO PIEMONTE DA CHAPADA,FESPC,BA,Privada,2,1,172,2
FACULDADE SANTA CATARINA,FASC,PE,Privada,1,0,,
FACULDADE PHÊNIX DE CIÊNCIAS HUMANAS E SOCIAIS DO BRASIL,PHENIX,GO,Privada,1,1,154,2
FACULDADE LA SALLE,UNILASALLE,AM,Privada,4,2,278,3
INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU,ISESJT,PI,Privada,2,1,133,2
FACULDADE DOM ALBERTO,FDA,RS,Privada,2,0,,
FACULDADE INESP - INSTITUTO NACIONAL DE ENSINO E PESQUISA,INESP,SP,Privada,1,0,,
FACULDADE DE CIÊNCIAS JURÍDICAS DE PARAÍSO DO TOCANTINS,FCJP,TO,Privada,1,1,101,2
FACULDADE SENAC MINAS,FSM,MG,Privada,1,0,,
INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E FILOSOFIA LA SALLE,ISCHF La Salle,RJ,Privada,3,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO RANCHARIENSE,ISER,SP,Privada,2,1,177,2
FACULDADE CATÓLICA DO CEARÁ,FCC,CE,Privada,2,0,,
FACULDADE MARISTA,FMR,PE,Privada,3,2,326,4
INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO,IESMA,MA,Privada,6,1,138,2
ESCOLA SUPERIOR DE ADMINISTRACAO DE EMPRESAS,INEA,SP,Privada,1,0,,
UNIPB - FACULDADE UNIDA DA PARAÍBA,UNIPB,PB,Privada,3,0,,
FACULDADE DE CIÊNCIAS DA SAÚDE DE GUARAPARI,,ES,Privada,3,0,,
INSTITUTO TECNOLÓGICO DE CARATINGA,ITC,MG,Privada,2,0,,
FACULDADE CATÓLICA DOM ORIONE,FACDO,TO,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO VERA CRUZ,ISE Vera Cruz,SP,Privada,2,2,391,4
ESCOLA SUPERIOR DA AMAZÔNIA,ESAMAZ,PA,Privada,10,3,175,2
FACULDADE DE TECNOLOGIA SENAI LUZERNA,SENAI Luzerna,SC,Privada,2,1,133,2
"FACULDADE DE CIENCIAS AGRARIAS, BIOLOGICAS, EXATAS E SOCIAIS",FABES,BA,Privada,2,0,,
FACULDADE DO VALE DO ITAJAÍ MIRIM,FAVIM,SC,Privada,4,3,214,3
FACULDADE JK VALPARAÍSO,Faculdade JK,GO,Privada,1,1,185,2
FACULDADE JK ADMINISTRACAO DE VALPARAISO,Faculdade JK,GO,Privada,1,1,203,3
FACULDADE DO SERTÃO,UESSBA,BA,Privada,2,1,294,3
FACULDADE DE CIÊNCIAS GERENCIAS DE SÃO GOTARDO,CESG,MG,Privada,2,0,,
INSTITUTO DE ENSINO SUPERIOR DE OURO FINO,,MG,Privada,1,0,,
FACULDADE EMPRESARIAL DE CHAPECO,FAEM,SC,Privada,1,0,,
CENTRO DE ENSINO SUPERIOR DE ILHEUS,CESUPI,BA,Privada,2,2,238,3
INSTITUTO SUPERIOR DE EDUCAÇÃO MANHUMIRIM,Faculdades Doctum,MG,Privada,3,1,180,2
FACULDADE DE MACAPÁ,FAMA,AP,Privada,10,3,144,2
FACULDADES INTEGRADAS FAFIBE,FAFIBE,SP,Privada,13,9,261,3
FACULDADES INTEGRADAS DESEMBARGADOR SAVIO BRANDAO - FAUSB,FAUSB,MT,Privada,2,2,180,2
FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE,FIOURO,RO,Privada,1,0,,
FACULDADE DE TECNOLOGIA DO NORDESTE,FATENE,CE,Privada,2,1,95,2
FACULDADE FRANCISCANA,FF,SC,Privada,3,0,,
INSTITUTO DE ENSINO SUPERIOR PEQUENO PRÍNCIPE,IESPP,PR,Privada,2,1,310,4
FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE,UNICEN,MT,Privada,2,0,,
FACULDADE UNIAO,Faculdade União,SP,Privada,1,0,,
FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,FAIESP,MT,Privada,4,0,,
FACULDADE SAO FRANCISCO DE ASSIS,FASFA,MT,Privada,2,0,,
FACULDADE DE IPORA,FAI,GO,Privada,1,0,,
FACULDADE DO LITORAL SUL,,SP,Privada,4,0,,
FACULDADE CCAA,FAC CCAA,RJ,Privada,3,0,,
FACULDADE MODELO,FACIMOD,PR,Privada,4,1,226,3
FACULDADE HARPA DE CASCAVEL,ITECNE,PR,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO ANÍSIO TEIXEIRA,ISEAT,MG,Privada,6,4,201,3
FACULDADE PAULUS DE TECNOLOGIA E COMUNICACAO,FAPCOM,SP,Privada,4,1,130,2
INSTITUTO SUPERIOR DE EDUCACAO CAPIMGROSSENSE,ISEC,BA,Privada,1,0,,
FACULDADE SÃO SEBASTIÃO,FASS,SP,Privada,4,1,194,2
FACULDADE IDC,IDC,RS,Privada,1,0,,
FACULDADE NOSSA SENHORA DE FÁTIMA,FACULDADE FÁTIMA,RS,Privada,4,0,,
FACULDADE EVANGÉLICA DO PIAUI,FAEPI,PI,Privada,1,1,151,2
FACULDADE ITABIRANA DE SAÚDE,FISA,MG,Privada,5,0,,
FACULDADE DOM BOSCO DE GOIOERE,FDBG,PR,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO PROGRAMUS,ISEPRO,PI,Privada,2,1,82,1
FACULDADE MAURÍCIO DE NASSAU,FMN,PE,Privada,19,2,sub judice,sub judice
FACULDADE SUL DA AMÉRICA,SULDAMÉRICA,GO,Privada,2,0,,
FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,FCMS/JF,MG,Privada,5,2,238,3
FACULDADE SALESIANA DOM BOSCO DE PIRACICABA,FSDB,SP,Privada,4,2,253,3
FACULDADE REINALDO RAMOS,CESREI,PB,Privada,2,0,,
ESCOLA SUPERIOR DOM HELDER CÂMARA,ESDHC,MG,Privada,1,1,238,3
FACULDADE SAO FRANCISCO DE ASSIS,UNIFIN,RS,Privada,2,0,,
FACULDADE DE BELEM,FABEL,PA,Privada,2,0,,
FACULDADE METROPOLITANA DE CAIEIRAS,FMC,SP,Privada,2,0,,
FACULDADE SÃO CAMILO,FASC-MG,MG,Privada,2,0,,
FACULDADE ZUMBI DOS PALMARES,FAZP,SP,Privada,1,0,,
FACULDADE BARÃO DE PIRATININGA,AES,SP,Privada,3,2,221,3
FACULDADE DE EDUCAÇÃO E TECNOLOGIA DA REGIÃO MISSIONEIRA,FETREMIS,RS,Privada,2,0,,
FACULDADE SATC,FASATC,SC,Privada,4,0,,
INSTITUTO TECNOLÓGICO REGIONAL,,MG,Privada,1,0,,
FACULDADE CONCORDIA,FACC,SC,Privada,2,1,208,3
INSTITUTO NATALENSE DE ENSINO E CULTURA,INEC,RN,Privada,4,0,,
INSTITUTO DE ENSINO SUPERIOR DO MARANHAO,IESMA,MA,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO VERDE NORTE,FAVENORTE,MG,Privada,7,4,156,2
INSTITUTO DE ENSINO SUPERIOR DO PARÁ,IESP,PA,Privada,5,0,,
FACULDADE DE CIÊNCIA E TECNOLOGIA ALBERT EINSTEIN,FACTAE,BA,Privada,4,1,196,3
FACULDADE CIDADE DE PATOS DE MINAS,FPM,MG,Privada,6,0,,
INSTITUTO DE ENSINO E CULTURA DO AMAPÁ,IECA,AP,Privada,3,0,,
FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA,FESAR,PA,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DE BARRETOS,ISEB,SP,Privada,3,2,182,2
FACULDADE DEL REY,FDR,MG,Privada,3,0,,
FACULDADE DE TALENTOS HUMANOS,FACTHUS,MG,Privada,8,1,239,3
INSTITUTO SUPERIOR DE EDUCAÇÃO FRANCISCANO NOSSA SENHORA DE FÁTIMA,FATIMA,DF,Privada,2,1,219,3
FACULDADE DO SUL,FACSUL,BA,Privada,5,0,,
FACULDADE DO BAIXO PARNAÍBA,FAP,MA,Privada,3,2,178,2
"ESCOLA SUPERIOR DE ADMINISTRACAO, DIREITO E ECONOMIA",ESADE,RS,Privada,2,0,,
FACULDADE DE CIENCIAS DE BRASILIA - FACIBRA,Facibra,DF,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO OCIDEMNTE,Ocidemnte,BA,Privada,1,0,,
FACULDADE BARRETOS,FB,SP,Privada,2,0,,
FACULDADE DE CIÊNCIAS HUMANAS E BIOLÓGICAS E DA SAÚDE,UNICEN,MT,Privada,4,1,164,2
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE,UNICEN,MT,Privada,2,1,137,2
FACULDADE DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,,MG,Privada,1,0,,
FACULDADE CENECISTA DE SINOP,FACENOP,MT,Privada,1,0,,
FACULDADE CENECISTA DE RONDONÓPOLIS,FACER,MT,Privada,1,0,,
INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA,IESC,AL,Privada,2,1,124,2
FACULDADE DO INSTITUTO NACIONAL DE POS-GRADUACAO DE CAMPINAS,Fac. INPG - Campinas,SP,Privada,1,0,,
FACULDADE DO INSTITUTO NACIONAL DE POS-GRADUACAO DE SAO JOSE DOS CAMPOS,Faculdade INPG - SJC,SP,Privada,1,0,,
FAJOPA - FACULDADE JOÃO PAULO II,FAJOPA,SP,Privada,1,1,220,3
FACULDADE SANTA RITA DE CASSIA,UNIFASC,GO,Privada,1,1,92,1
FACULDADE DE CIÊNCIAS EDUCACIONAIS E SISTEMAS INTEGRADOS,FACESI,PR,Privada,3,1,212,3
FACULDADE DA AMAZÔNIA,FAMA,PA,Privada,3,0,,
FACULDADE DELTA,FACDELTA,BA,Privada,6,0,,
FACULDADE POTIGUAR DA PARAIBA,FPB,PB,Privada,2,0,,
FACULDADE DE SAÚDE E DESENVOLVIMENTO HUMANO SANTO AGOSTINHO,FS,MG,Privada,2,0,,
FACULDADE DE ODONTOLOGIA DO RECIFE,FOR,PE,Privada,1,1,217,3
FACULDADE DE DIREITO DE PORTO ALEGRE,FADIPA,RS,Privada,1,0,,
FACULDADE ANCHIETA DO RECIFE,FAR,PE,Privada,1,0,,
FACULDADES INTEGRADAS DO OESTE DE MINAS,FADOM,MG,Privada,6,5,244,3
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA RITA DO SAPUCAÍ,ISE,MG,Privada,2,1,258,3
FACULDADE DE TECNOLOGIA SENAI RIO DO SUL,SENAI RIO DO SUL,SC,Privada,1,0,,
FACULDADE DE TECNOLOGIA SENAI JARAGUÁ DO SUL,FATEC,SC,Privada,2,1,169,2
FACULDADE DE TECNOLOGIA SENAI BRUSQUE,SENAI/SC Brusque,SC,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES,ISEAR,GO,Privada,2,1,181,2
INSTITUTO SUPERIOR DE EDUCAÇÃO ANGLO-AMERICANO DE FOZ DO IGUAÇU,ISEAAFI,PR,Privada,2,0,,
FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS,SENAI -SC - CTAI,SC,Privada,2,2,282,3
FACULDADE DE TECNOLOGIA IBTA CAMPINAS,IBTA,SP,Privada,2,2,236,3
FACULDADES INTEGRADAS ASSOCIACAO DE ENSINO DE SANTA CATARINA,FASSESC,SC,Privada,4,3,254,3
FACULDADE EQUIPE,FAE,RS,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO EQUIPE,ISEE,RS,Privada,3,2,245,3
FACULDADE DE ADMINISTRACAO DA FESPSP,FADFESPSP,SP,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS,UNIAMÉRICA,PR,Privada,2,1,196,3
FACULDADE EVOLUÇÃO,FAEV,SP,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO CORAÇÃO DE JESUS,ISECJ,MG,Privada,1,1,196,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GARÇA,ISEG,SP,Privada,2,2,223,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA,ISESC,SC,Privada,2,1,206,3
INSTITUTO SUPERIOR DE EDUCACAO DE CAJAZEIRAS,ISEC,PB,Privada,1,1,239,3
FACULDADES INTEGRADAS DOS CAMPOS GERAIS,CESCAGE,PR,Privada,12,6,223,3
FACULDADE DE MINAS BH,FAMINAS-BH,MG,Privada,7,2,222,3
INSTITUTO SUPERIOR DE EDUCACAO ALBERT EINSTEIN,ISALBE,DF,Privada,1,1,159,2
FACULDADE DE QUATRO MARCOS,FQM,MT,Privada,2,2,98,2
FACULDADE DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,FACISA,MG,Privada,6,0,,
FACULDADE RELIGARE TEOLÓGICA,FRT,PI,Privada,1,0,,
ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,DF,Estadual,1,1,329,4
FACULDADE DE FARMÁCIA E BIOQUÍMICA,ITPAC,TO,Privada,1,0,,
FACULDADE DE ENFERMAGEM,ITPAC,TO,Privada,1,0,,
FACULDADE DE MEDICINA,ITPAC,TO,Privada,1,1,176,2
FACULDADE DE SISTEMA DE INFORMAÇÃO,ITPAC,TO,Privada,1,1,167,2
FACULDADE DE ADMINISTRACAO,ITPAC,TO,Privada,1,1,252,3
FACULDADE LUIZ EDUARDO MAGALHÃES,FILEM,BA,Privada,2,1,229,3
FACULDADE IGUAÇU,FI,PR,Privada,2,1,164,2
FACULDADE DE ODONTOLOGIA,ITPAC,TO,Privada,1,0,,
FACULDADE ALFA BRASIL,FAAB,PR,Privada,1,1,166,2
FACULDADE QUIRINOPOLIS,FAQUI,GO,Privada,1,0,,
FACULDADE MADRE THAIS,FMT,BA,Privada,1,0,,
FACULDADE SÃO BENTO DA BAHIA,FSBB,BA,Privada,3,1,237,3
FACULDADE SANTO ANTONIO,FSA,BA,Privada,5,0,,
FACULDADE DE TECNOLOGIA ENIAC-FAPI,ENIAC,SP,Privada,1,1,151,2
FACULDADE DE TECNOLOGIA CAMÕES,,PR,Privada,1,1,236,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE JUNQUEIRÓPOLIS,ISEJ,SP,Privada,3,2,254,3
FACULDADES INTEGRADAS MATO-GROSSENSES DE CIÊNCIAS SOCIAIS E HUMANAS,ICE,MT,Privada,5,3,154,2
FACULDADES INTEGRADAS DE PATOS,FIP,PB,Privada,10,8,183,2
FACULDADE DE TECNOLOGIA IPUC,FATIPUC,RS,Privada,1,1,255,3
FACULDADE DE TECNOLOGIA DE RIO CLARO,CBTA,SP,Privada,1,0,,
FACULDADE DE TECNOLOGIA TERMOMECÂNICA,FTT,SP,Privada,2,2,290,3
FACULDADE DE TECNOLOGIA INTERNACIONAL,FATEC INTERNACIONAL,PR,Privada,1,1,203,3
FACULDADE DE TECNOLOGIA DA AMAZÔNIA,FAZ,PA,Privada,3,1,191,2
FACULDADE DE TECNOLOGIA SÃO FRANCISCO,UNESF,ES,Privada,1,1,119,2
FACULDADE DE ENSINO SUPERIOR DE CATALÃO,Faculdade CESUC,GO,Privada,2,0,,
INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS,IESCAMP,SP,Privada,2,0,,
FACULDADE DE TECNOLOGIA SENAC RIO,FATEC,RJ,Privada,1,1,244,3
FACULDADE DE TECNOLOGIA TECBRASIL,FTECBrasil,RS,Privada,2,2,248,3
FACULDADE DE TECNOLOGIA DE TERESINA,CET,PI,Privada,1,1,211,3
FACULDADE DE GETÚLIO VARGAS,FACULDADE IDEAU,RS,Privada,4,0,,
INSTITUTO DE EDUCACAO SUPERIOR PRESIDENTE KENNEDY,IFESP,RN,Estadual,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO,ISEd-Três Pontas,MG,Privada,1,0,,
INSTITUTO DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS,ICHSA-Três Pontas,MG,Privada,2,1,179,2
