ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
"FACULDADE DE CIÊNCIAS, CULTURA E EXTENSÃO DO RIO GRANDE DO NORTE",FACEX,RN,Privada,9,5,213,3
"FACULDADE ESTADUAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE PARANAGUÁ",FAFIPAR,PR,Estadual,8,8,201,3
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO,FAFIJA,PR,Estadual,6,5,231,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO",FASF,MG,Privada,7,0,,
FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO,FEC,MG,Privada,3,3,141,2
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PRESIDENTE VENCESLAU,,SP,Privada,5,1,182,2
FACULDADES INTEGRADAS MARIA IMACULADA,FIMI,SP,Privada,8,6,243,3
FACULDADE DE CIÊNCIAS APLICADAS SAGRADO CORAÇÃO,,ES,Privada,14,8,266,3
FACULDADES INTEGRADAS TERESA D´ÁVILA,FATEA,SP,Privada,12,10,208,3
ESCOLA SUPERIOR DE SECRETARIADO DE PERNAMBUCO,ESUSPE,PE,Privada,1,0,,
FACULDADE DE ARQUITETURA E URBANISMO DE PERNAMBUCO,FAUPE,PE,Privada,1,1,227,3
ESCOLA SUPERIOR DE ENSINO HELENA ANTIPOFF,ESEHA,RJ,Privada,5,4,172,2
FACULDADE DE EDUCAÇÃO E CIÊNCIAS HUMANAS DE ANICUNS,FECHA,GO,Municipal,6,4,159,2
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL,IMESSM,SP,Municipal,3,2,183,2
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAIBA,CESVALE,PI,Privada,2,0,,
FACULDADE DE PARÁ DE MINAS,FAPAM,MG,Privada,9,2,236,3
FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL,FACHUSC,PE,Municipal,5,3,158,2
CENTRO DE ENSINO SUPERIOR DE CATALÃO,CESUC,GO,Privada,3,2,207,3
CENTRO DE ENSINO SUPERIOR DE JATAI,CESUT,GO,Privada,2,2,163,2
FACULDADES INTEGRADAS DO TAPAJÓS,ISES,PA,Privada,6,6,164,2
FACULDADE BRASILEIRA DE RECURSOS HUMANOS,FBRH,SP,Privada,1,1,215,3
FACULDADE DE CIÊNCIAS MÉDICAS E PARAMÉDICAS FLUMINENSE,SEFLU,RJ,Privada,2,2,138,2
FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO,FCHPE,PE,Privada,3,3,166,2
FACULDADES SPEI,FACSPEI,PR,Privada,5,5,218,3
FACULDADES INTEGRADAS DE FÁTIMA DO SUL,FIFASUL,MS,Privada,2,1,140,2
INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO,IUESO,GO,Privada,10,7,137,2
FACULDADE PINHEIRO GUIMARAES,FAPG,RJ,Privada,1,1,226,3
FACULDADE DE ADMINISTRACAO DE NOVA ANDRADINA,FANA,MS,Privada,1,1,119,2
FACULDADES INTEGRADAS DE NAVIRAÍ,FINAV,MS,Privada,5,5,147,2
FACULDADE ALVORADA DE INFORMÁTICA E PROCESSAMENTO DE DADOS,FAIPD,DF,Privada,1,1,184,2
FACULDADE ALVORADA DE EDUCAÇÃO FÍSICA E DESPORTO,FAEFD,DF,Privada,13,1,172,2
FACULDADE DE CIÊNCIAS CONTÁBEIS DE JEQUIÉ,FCCJ,BA,Privada,1,1,278,3
FACULDADE DE EDUCAÇÃO THEREZA PORTO MARQUES,FAETEC,SP,Privada,1,1,191,2
FACULDADE DE TECNOLOGIA THEREZA PORTO MARQUES,FAETEC,SP,Privada,3,2,220,3
FACULDADE DE PONTA PORÃ,FAP,MS,Privada,5,5,209,3
FACULDADE DO SUL DE MATO GROSSO,FACSUL,MT,Privada,11,7,211,3
FACULDADE DE EDUCAÇÃO DE TANGARÁ DA SERRA,FACEDUTS,MT,Privada,1,1,167,2
"FACULDADE DE CIÊNCIAS HUMANAS, EXATAS E LETRAS DE RONDÔNIA",FARO,RO,Privada,9,6,193,2
FACULDADE DE ENFERMAGEM DO HOSPITAL ISRAELITA ALBERT EINSTEIN,FEHIAE,SP,Privada,1,1,244,3
FACULDADES INTEGRADAS DE DIAMANTINO,FID,MT,Privada,5,3,136,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,MT,Privada,3,3,154,2
FACULDADE DE EDUCAÇÃO E CIÊNCIAS ADMINISTRATIVAS DE VILHENA,FECAV,RO,Privada,3,2,174,2
FACULDADE DE ARACRUZ,FAACZ,ES,Privada,9,6,198,3
